PICKING,VIN,MODELO,COLOR,DEALER,CLIENTE FINAL,PROVEDOR,UBICACIÓN ESUM,Fecha Despacho,Destino,REALIZADO,UBICACION VARI,Estado CC,QUE REPROCESO FALTA,REPROCESO PINTURA,REPROCESO REPUESTOS,TALLER,FUE CONVERTIDO A GLP,UBICACIÓN MAPEADA-APP,HORA REGISTRADA,ENTREGA-REVO Y ESSA,REVISION-REVO Y ESSA,OBSERVACION - REVO Y ESSA,ENTREGA-EMSA Y ASSA,REVISION-EMSA Y ASSA,OBSERVACION - EMSA Y ASSA
,LSCABN3E5TE144577,NEW X5 1.5 MEC CABINA SIMPLE,BLANCO,INTERAMERICANA NORTE S.A.C.,VENTA INTER NORTE,SUM,LISTOS - REVISADO,14/3/2026,ZONA AASA,NO,P8 A 7 B,Reproceso,Falta: Reproceso Repuestos,PINTURA: Oxido en Inter de capot | Piso y filos de tolva con óxidos y raspados,REPUESTO: Falta logo delantero | Falta maletín de herramientas,VARI BIRRAK,,Pintura,2026-03-13T10:08:03.992Z,,,,1era Entrega,Rechazado,"* asiento  derecho manchado
* capos rayado
* para choque delantero rayado
* puerta izquierda rayada"
,LS4ASL2E0TE158792,"NEW V5 1,5 MEC PLUS",GRIS,INTERAMERICANA NORTE S.A.C.,VENTA INTER NORTE GLP,SUM,LISTOS - REVISADO,14/3/2026,ZONA AASA,NO,COLA DE LAVADO SUM ,Listo,Completo,PINTURA: ,REPUESTO: ,VARI BIRRAK,,Isla 14,2026-03-13T07:24:17.057Z,,,,2da Entrega,,
,LS4ASL2E4TE158715,"NEW V5 1,5 MEC PLUS",GRIS,INTERAMERICANA NORTE S.A.C.,VENTA INTER NORTE GLP,SUM,LISTOS,14/3/2026,ZONA AASA,NO,COLA DE LAVADO SUM ,Reproceso,Falta: Reproceso Pintura,"PINTURA: Guardaf posterior RH con abolladura,qñ | Filo de puerta post lh con rayas en filo | Esquinero de parachoque post RH raspado | Pantalla de radio con rayaduras",REPUESTO: Asiento fila 03 asiento 07 respaldar con corte | Mica de faro posterior RH roto | Cromo de máscara delantera con grumos careo | Emblema A picado | Neblinero RH careado,VARI BIRRAK,,Isla 5,2026-03-13T12:31:21.263Z,,,,,,
,LVTDD24B6TDB15410,T1 2.0T AWD 8AT B/O,BLANCO,INTERAMERICANA TRUJILLO SOCIEDAD ANONIMA,VENTA INTER TRUJILLO,SUM,LISTOS,14/3/2026,ZONA AASA,NO,B5 4 C,Para validar,Completo,PINTURA: Capor abollado,REPUESTO: ,VARI BIRRAK,,Pintura,2026-03-13T19:01:08.348Z,,,,,,
,LVTDB21B5TDA08262,S06 1.5T 4X2 6DCT B,PLATA,HS TALLERES S.R.L.,VENTA HS TALLERES,SUM,LISTOS - REVISADO,14/3/2026,ZONA AASA,NO,COLA DE LAVADO SUM ,Para validar,Completo,PINTURA: Desperfecto de pintura en guardafngo interior post LH,REPUESTO: ,VARI BIRRAK,,Isla 14,2026-03-13T07:19:59.841Z,,,,1era Entrega,,
,LS4ASL2E5TE495135,NEW V7 1.6 MEC PLUS,GRIS OSCURO,Altos Andes S.A.C.,EXHIBICION IWAGEN,SUM,LISTOS,14/3/2026,ZONA AASA,NO,P8 C 16 C,Reproceso,Falta: Reproceso Pintura y Reproceso Repuestos,PINTURA: Manija de puerta posterior RH con quiñe,REPUESTO: Falta letra v 7,VARI BIRRAK,,Isla 4,2026-03-13T07:05:21.575Z,,,,,,
,LSCAB33EXTE521263,NEW T3 1.5 MEC DOBLE CABINA,BLANCO,AUTOS DEL SUR S.A.C.,VENTA AUTOS DEL SUR,SUM,LISTOS - REVISADO,14/3/2026,ZONA AASA,NO,COLA DE LAVADO SUM ,Listo,Completo,PINTURA: ,REPUESTO: ,VARI BIRRAK,,Isla 20 - FILA 18,2026-03-13T16:04:42.652Z,,,,1era Entrega,,
,LS4ASL2E9TE520490,"NEW V5 1,5 MEC PLUS",PLATA,INTERAMERICANA NORTE S.A.C.,VENTA INTER NORTE GLP,SUM,LISTOS - REVISADO,14/3/2026,ZONA AASA,NO,COLA DE LAVADO SUM ,Para validar,Completo,PINTURA: ,REPUESTO: Falta  mochila de herramientas,VARI BIRRAK,,Isla 14,2026-03-13T07:26:10.415Z,,,,1era Entrega,,
,LS4ASL2E9TE520487,"NEW V5 1,5 MEC PLUS",PLATA,INTERAMERICANA NORTE S.A.C.,VENTA INTER NORTE GLP,SUM,LISTOS - REVISADO,14/3/2026,ZONA AASA,NO,COLA DE LAVADO SUM ,Listo,Completo,PINTURA: ,REPUESTO: ,VARI BIRRAK,,Isla 14,2026-03-13T07:30:03.630Z,,,,,,
,LS4ASL2E6TE520544,NEW V3 1.5 MEC CONFORT,BLANCO,HS TALLERES S.R.L.,VENTA HS TALLERES,SUM,LISTOS - REVISADO,14/3/2026,ZONA AASA,NO,COLA DE LAVADO SUM ,Para validar,Completo,PINTURA: Quiñe en puerta post RH | Quiñe en aro del LH,REPUESTO: ,VARI BIRRAK,,Isla 14,2026-03-13T07:27:44.494Z,,,,1era Entrega,,
